simple-spread-chance,organizing-capacity,organizing-strategy,ba-m,peak time
0.5,1,high-degree-cit-and-media,10,8.12
0.5,1,high-degree-citizens,3,12.2
0.5,1,high-degree-citizens,10,7.8
0.5,1,high-degree-media,3,10.24
0.5,1,high-degree-media,10,4.92
0.5,1,neighbors-of-neighbors,3,9.28
0.5,1,neighbors-of-neighbors,10,6.16
0.5,5,high-degree-cit-and-media,3,9.68
0.5,5,high-degree-cit-and-media,10,4.88
0.5,5,high-degree-citizens,3,9.24
0.5,5,high-degree-citizens,10,7.28
0.5,5,high-degree-media,3,8.92
0.5,5,high-degree-media,10,5.84
0.5,5,neighbors-of-neighbors,3,7.2
0.5,5,neighbors-of-neighbors,10,4.12
0.5,10,high-degree-cit-and-media,3,9.68
0.5,10,high-degree-cit-and-media,10,5.04
0.5,10,high-degree-citizens,3,9.44
0.5,10,high-degree-citizens,10,7.24
0.5,10,high-degree-media,3,10.72
0.5,10,high-degree-media,10,4.72
0.5,10,neighbors-of-neighbors,3,5.56
0.5,10,neighbors-of-neighbors,10,4.8
0.75,1,high-degree-cit-and-media,3,7.64
0.75,1,high-degree-cit-and-media,10,3.88
0.75,1,high-degree-citizens,3,7.56
0.75,1,high-degree-citizens,10,4.52
0.75,1,high-degree-media,3,7.52
0.75,1,high-degree-media,10,4.36
0.75,1,neighbors-of-neighbors,3,6.76
0.75,1,neighbors-of-neighbors,10,4.6
0.75,5,high-degree-cit-and-media,3,6.92
0.75,5,high-degree-cit-and-media,10,4.4
0.75,5,high-degree-citizens,3,7.12
0.75,5,high-degree-citizens,10,4.48
0.75,5,high-degree-media,3,7.28
0.75,5,high-degree-media,10,5.28
0.75,5,neighbors-of-neighbors,3,5.12
0.75,5,neighbors-of-neighbors,10,3.64
0.75,10,high-degree-cit-and-media,3,5.92
0.75,10,high-degree-cit-and-media,10,4.32
0.75,10,high-degree-citizens,3,6.48
0.75,10,high-degree-citizens,10,4.88
0.75,10,high-degree-media,3,7.04
0.75,10,high-degree-media,10,3.88
0.75,10,neighbors-of-neighbors,3,4.64
0.75,10,neighbors-of-neighbors,10,3.32
