simple-spread-chance,citizen-media-influence,citizen-citizen-influence,ba-m,peak time
0.05,0.75,0.75,3,102.61
0.05,0.75,0.75,10,94.66666666666669
0.1,0.01,0.05,10,
0.1,0.01,0.1,3,
0.1,0.01,0.1,10,508.5789473684209
0.1,0.01,0.25,3,611.7076023391813
0.1,0.01,0.25,10,456.33766233766227
0.1,0.01,0.5,3,450.1066666666666
0.1,0.01,0.5,10,354.95471014492756
0.1,0.01,0.75,3,128.46
0.1,0.01,0.75,10,459.7933333333333
0.1,0.05,0.01,10,1300.5
0.1,0.05,0.05,3,643.025641025641
0.1,0.05,0.05,10,791.3291666666667
0.1,0.05,0.1,3,266.0
0.1,0.05,0.1,10,590.300395256917
0.1,0.05,0.25,3,547.7266666666667
0.1,0.05,0.25,10,188.57666666666663
0.1,0.05,0.5,3,281.9266666666667
0.1,0.05,0.5,10,233.96
0.1,0.05,0.75,3,75.85666666666667
0.1,0.05,0.75,10,122.9492753623188
0.1,0.1,0.01,3,
0.1,0.1,0.01,10,320.45454545454544
0.1,0.1,0.05,3,1216.8006535947713
0.1,0.1,0.05,10,599.0566666666667
0.1,0.1,0.1,3,460.4066666666666
0.1,0.1,0.1,10,453.1766666666667
0.1,0.1,0.25,3,344.5566666666667
0.1,0.1,0.25,10,66.97666666666666
0.1,0.1,0.5,3,131.57666666666665
0.1,0.1,0.5,10,111.62333333333332
0.1,0.1,0.75,3,180.60666666666668
0.1,0.1,0.75,10,48.60688405797101
0.1,0.25,0.01,3,1129.1143790849671
0.1,0.25,0.01,10,822.2186147186148
0.1,0.25,0.05,3,490.4066666666666
0.1,0.25,0.05,10,380.9433333333333
0.1,0.25,0.1,3,530.4399999999999
0.1,0.25,0.1,10,329.7971014492753
0.1,0.25,0.25,3,181.0733333333333
0.1,0.25,0.25,10,58.443333333333335
0.1,0.25,0.5,3,84.99
0.1,0.25,0.5,10,12.833333333333334
0.1,0.25,0.75,3,34.89
0.1,0.25,0.75,10,28.540000000000003
0.1,0.5,0.01,3,1091.2753623188405
0.1,0.5,0.01,10,355.9347826086956
0.1,0.5,0.05,3,330.24999999999994
0.1,0.5,0.05,10,298.3433333333333
0.1,0.5,0.1,3,190.02666666666667
0.1,0.5,0.1,10,84.14333333333335
0.1,0.5,0.25,3,77.77333333333333
0.1,0.5,0.25,10,75.85666666666665
0.1,0.5,0.5,3,43.916666666666664
0.1,0.5,0.5,10,12.666666666666666
0.1,0.5,0.75,3,30.026666666666667
0.1,0.5,0.75,10,76.72333333333334
0.1,0.75,0.01,3,992.3399209486164
0.1,0.75,0.01,10,648.3233333333334
0.1,0.75,0.05,3,346.36000000000007
0.1,0.75,0.05,10,290.32333333333327
0.1,0.75,0.1,3,130.41666666666666
0.1,0.75,0.1,10,73.41
0.1,0.75,0.25,3,69.58333333333334
0.1,0.75,0.25,10,37.606666666666676
0.1,0.75,0.5,3,45.75
0.1,0.75,0.5,10,15.74
0.1,0.75,0.75,3,53.79333333333333
0.1,0.75,0.75,10,20.923333333333336
0.25,0.01,0.01,10,162.0
0.25,0.01,0.05,3,887.1742424242425
0.25,0.01,0.05,10,689.0766666666667
0.25,0.01,0.1,3,640.7034632034632
0.25,0.01,0.1,10,531.7807971014493
0.25,0.01,0.25,3,206.77666666666667
0.25,0.01,0.25,10,54.59
0.25,0.01,0.5,3,206.5233333333334
0.25,0.01,0.5,10,159.75
0.25,0.01,0.75,3,15.833333333333334
0.25,0.01,0.75,10,185.43297101449278
0.25,0.05,0.01,3,1316.9458874458876
0.25,0.05,0.01,10,620.547619047619
0.25,0.05,0.05,3,368.01
0.25,0.05,0.05,10,323.3333333333333
0.25,0.05,0.1,3,243.01000000000002
0.25,0.05,0.1,10,147.42666666666668
0.25,0.05,0.25,3,81.57333333333334
0.25,0.05,0.25,10,93.6733333333333
0.25,0.05,0.5,3,26.41666666666667
0.25,0.05,0.5,10,25.826666666666668
0.25,0.05,0.75,3,37.12666666666667
0.25,0.05,0.75,10,11.323333333333332
0.25,0.1,0.01,3,1006.4184782608696
0.25,0.1,0.01,10,588.56
0.25,0.1,0.05,3,278.73999999999995
0.25,0.1,0.05,10,160.97666666666666
0.25,0.1,0.1,3,179.25000000000003
0.25,0.1,0.1,10,81.25
0.25,0.1,0.25,3,27.333333333333332
0.25,0.1,0.25,10,48.68999999999999
0.25,0.1,0.5,3,19.073333333333334
0.25,0.1,0.5,10,10.29
0.25,0.1,0.75,3,10.333333333333332
0.25,0.1,0.75,10,28.493333333333336
0.25,0.25,0.01,3,521.7766666666666
0.25,0.25,0.01,10,211.5733333333333
0.25,0.25,0.05,3,161.54333333333332
0.25,0.25,0.05,10,48.16666666666666
0.25,0.25,0.1,3,44.52333333333333
0.25,0.25,0.1,10,39.190000000000005
0.25,0.25,0.25,3,19.006666666666668
0.25,0.25,0.25,10,6.083333333333333
0.25,0.25,0.5,3,16.666666666666668
0.25,0.25,0.5,10,5.089999999999999
0.25,0.25,0.75,3,6.026666666666667
0.25,0.25,0.75,10,3.3066666666666666
0.25,0.5,0.01,3,485.3333333333333
0.25,0.5,0.01,10,206.84
0.25,0.5,0.05,3,92.84000000000002
0.25,0.5,0.05,10,67.44000000000001
0.25,0.5,0.1,3,20.243333333333332
0.25,0.5,0.1,10,17.76
0.25,0.5,0.25,3,18.583333333333336
0.25,0.5,0.25,10,18.456666666666667
0.25,0.5,0.5,3,2.5066666666666664
0.25,0.5,0.5,10,3.1566666666666663
0.25,0.5,0.75,3,7.293333333333333
0.25,0.5,0.75,10,5.083333333333333
0.25,0.75,0.01,3,282.08333333333337
0.25,0.75,0.01,10,72.43999999999998
0.25,0.75,0.05,3,48.96000000000001
0.25,0.75,0.05,10,18.083333333333332
0.25,0.75,0.1,3,63.41666666666665
0.25,0.75,0.1,10,12.973333333333334
0.25,0.75,0.25,3,12.083333333333334
0.25,0.75,0.25,10,3.7266666666666666
0.25,0.75,0.5,3,4.166666666666667
0.25,0.75,0.5,10,2.256666666666667
0.25,0.75,0.75,3,3.823333333333333
0.25,0.75,0.75,10,2.2933333333333334
0.5,0.01,0.01,3,792.6060606060605
0.5,0.01,0.01,10,710.2
0.5,0.01,0.05,3,358.53359683794474
0.5,0.01,0.05,10,271.8066666666666
0.5,0.01,0.1,3,122.91000000000001
0.5,0.01,0.1,10,96.28804347826087
0.5,0.01,0.25,3,88.83333333333333
0.5,0.01,0.25,10,60.840579710144915
0.5,0.01,0.5,3,74.82333333333334
0.5,0.01,0.5,10,5.14
0.5,0.01,0.75,3,313.82666666666665
0.5,0.01,0.75,10,110.11413043478261
0.5,0.05,0.01,3,765.59
0.5,0.05,0.01,10,295.45666666666665
0.5,0.05,0.05,3,117.85666666666668
0.5,0.05,0.05,10,247.5
0.5,0.05,0.1,3,75.57333333333334
0.5,0.05,0.1,10,63.67666666666667
0.5,0.05,0.25,3,12.923333333333334
0.5,0.05,0.25,10,103.57333333333331
0.5,0.05,0.5,3,19.493333333333332
0.5,0.05,0.5,10,4.86
0.5,0.05,0.75,3,6.223333333333334
0.5,0.05,0.75,10,7.6433333333333335
0.5,0.1,0.01,3,244.75
0.5,0.1,0.01,10,131.77333333333334
0.5,0.1,0.05,3,88.64
0.5,0.1,0.05,10,28.939999999999998
0.5,0.1,0.1,3,43.556666666666665
0.5,0.1,0.1,10,27.25
0.5,0.1,0.25,3,16.416666666666668
0.5,0.1,0.25,10,5.243333333333333
0.5,0.1,0.5,3,2.9899999999999998
0.5,0.1,0.5,10,1.3433333333333335
0.5,0.1,0.75,3,2.0233333333333334
0.5,0.1,0.75,10,12.85666666666667
0.5,0.25,0.01,3,215.36
0.5,0.25,0.01,10,66.44000000000001
0.5,0.25,0.05,3,17.193333333333335
0.5,0.25,0.05,10,9.123333333333333
0.5,0.25,0.1,3,13.14
0.5,0.25,0.1,10,9.823333333333332
0.5,0.25,0.25,3,4.656666666666666
0.5,0.25,0.25,10,4.626666666666666
0.5,0.25,0.5,3,2.723333333333333
0.5,0.25,0.5,10,1.6233333333333333
0.5,0.25,0.75,3,1.7566666666666668
0.5,0.25,0.75,10,3.6666666666666665
0.5,0.5,0.01,3,85.34000000000002
0.5,0.5,0.01,10,16.49
0.5,0.5,0.05,3,25.010000000000005
0.5,0.5,0.05,10,9.926666666666668
0.5,0.5,0.1,3,12.76
0.5,0.5,0.1,10,7.706666666666667
0.5,0.5,0.25,3,1.2566666666666668
0.5,0.5,0.25,10,2.223333333333333
0.5,0.5,0.5,3,1.2566666666666668
0.5,0.5,0.5,10,0.96
0.5,0.5,0.75,3,1.64
0.5,0.5,0.75,10,1.01
0.5,0.75,0.01,3,156.5266666666666
0.5,0.75,0.01,10,27.473333333333333
0.5,0.75,0.05,3,9.826666666666666
0.5,0.75,0.05,10,4.140000000000001
0.5,0.75,0.1,3,6.5
0.5,0.75,0.1,10,3.523333333333334
0.5,0.75,0.25,3,1.7433333333333334
0.5,0.75,0.25,10,3.7100000000000004
0.5,0.75,0.5,3,0.9066666666666667
0.5,0.75,0.5,10,0.91
0.5,0.75,0.75,3,0.37666666666666665
0.5,0.75,0.75,10,0.3333333333333333
0.75,0.01,0.01,3,728.3376623376623
0.75,0.01,0.01,10,457.691699604743
0.75,0.01,0.05,3,276.9233333333334
0.75,0.01,0.05,10,188.59
0.75,0.01,0.1,3,97.31
0.75,0.01,0.1,10,7.797101449275362
0.75,0.01,0.25,3,16.459999999999997
0.75,0.01,0.25,10,128.51000000000002
0.75,0.01,0.5,3,62.916666666666664
0.75,0.01,0.5,10,118.92333333333333
0.75,0.01,0.75,3,51.5
0.75,0.01,0.75,10,365.9433333333334
0.75,0.05,0.01,3,369.54
0.75,0.05,0.01,10,281.26000000000005
0.75,0.05,0.05,3,72.34333333333335
0.75,0.05,0.05,10,34.46
0.75,0.05,0.1,3,34.833333333333336
0.75,0.05,0.1,10,18.583333333333332
0.75,0.05,0.25,3,15.11
0.75,0.05,0.25,10,2.0
0.75,0.05,0.5,3,6.25
0.75,0.05,0.5,10,4.8566666666666665
0.75,0.05,0.75,3,2.7933333333333334
0.75,0.05,0.75,10,3.106666666666667
0.75,0.1,0.01,3,114.59333333333332
0.75,0.1,0.01,10,42.043333333333344
0.75,0.1,0.05,3,24.666666666666668
0.75,0.1,0.05,10,27.27333333333333
0.75,0.1,0.1,3,18.333333333333332
0.75,0.1,0.1,10,11.056666666666667
0.75,0.1,0.25,3,6.706666666666667
0.75,0.1,0.25,10,4.823333333333333
0.75,0.1,0.5,3,1.6766666666666667
0.75,0.1,0.5,10,1.0833333333333333
0.75,0.1,0.75,3,1.1900000000000002
0.75,0.1,0.75,10,1.2266666666666668
0.75,0.25,0.01,3,95.5
0.75,0.25,0.01,10,25.956666666666667
0.75,0.25,0.05,3,16.539999999999996
0.75,0.25,0.05,10,3.26
0.75,0.25,0.1,3,7.0
0.75,0.25,0.1,10,4.626666666666667
0.75,0.25,0.25,3,4.493333333333333
0.75,0.25,0.25,10,3.0566666666666666
0.75,0.25,0.5,3,1.4433333333333336
0.75,0.25,0.5,10,1.3933333333333329
0.75,0.25,0.75,3,0.8433333333333333
0.75,0.25,0.75,10,0.6100000000000001
0.75,0.5,0.01,3,52.416666666666664
0.75,0.5,0.01,10,20.356666666666666
0.75,0.5,0.05,3,7.076666666666665
0.75,0.5,0.05,10,6.333333333333332
0.75,0.5,0.1,3,2.84
0.75,0.5,0.1,10,1.8266666666666664
0.75,0.5,0.25,3,1.4166666666666667
0.75,0.5,0.25,10,0.7599999999999999
0.75,0.5,0.5,3,0.8333333333333334
0.75,0.5,0.5,10,0.6900000000000001
0.75,0.5,0.75,3,0.5599999999999999
0.75,0.5,0.75,10,0.632034632034632
0.75,0.75,0.01,3,53.59
0.75,0.75,0.01,10,8.083333333333334
0.75,0.75,0.05,3,5.5
0.75,0.75,0.05,10,4.956666666666666
0.75,0.75,0.1,3,1.7766666666666666
0.75,0.75,0.1,10,2.8333333333333335
0.75,0.75,0.25,3,1.06
0.75,0.75,0.25,10,1.04
0.75,0.75,0.5,3,0.7733333333333334
0.75,0.75,0.5,10,0.5766666666666665
0.75,0.75,0.75,3,0.61
0.75,0.75,0.75,10,0.31
